gemeente;nis;jaar;werkzaamheidsgraad
Aalst;41002;2003;70,06579706
Aalst;41002;2004;70,68895512
Aalst;41002;2005;71,07399105
Aalst;41002;2006;71,49617364
Aalst;41002;2007;71,81817809
Aalst;41002;2008;72,56098122
Aalst;41002;2009;72,14902462
Aalst;41002;2010;72,06473244
Aalst;41002;2011;72,19537233
Aalst;41002;2012;72,15246672
Aalst;41002;2013;71,71858831
Aalst;41002;2014;71,69553679
Aalst;41002;2015;72,1973482
Aalter;44001;2003;73,78728737
Aalter;44001;2004;74,71581405
Aalter;44001;2005;74,87209117
Aalter;44001;2006;75,44377813
Aalter;44001;2007;76,38201055
Aalter;44001;2008;77,12266837
Aalter;44001;2009;77,16435691
Aalter;44001;2010;77,58029592
Aalter;44001;2011;78,06960718
Aalter;44001;2012;78,17129297
Aalter;44001;2013;77,96165234
Aalter;44001;2014;78,39225906
Aalter;44001;2015;78,72318837
Aarschot;24001;2003;71,04419127
Aarschot;24001;2004;71,59126355
Aarschot;24001;2005;71,84639919
Aarschot;24001;2006;72,65900598
Aarschot;24001;2007;73,46441061
Aarschot;24001;2008;74,44761152
Aarschot;24001;2009;73,9832682
Aarschot;24001;2010;74,08642911
Aarschot;24001;2011;74,323825
Aarschot;24001;2012;73,76743571
Aarschot;24001;2013;73,77405726
Aarschot;24001;2014;74,33832263
Aarschot;24001;2015;75,24682228
Aartselaar;11001;2003;71,08630725
Aartselaar;11001;2004;70,43236179
Aartselaar;11001;2005;71,12137592
Aartselaar;11001;2006;72,27275458
Aartselaar;11001;2007;72,62708242
Aartselaar;11001;2008;72,62353274
Aartselaar;11001;2009;71,71686294
Aartselaar;11001;2010;71,61620398
Aartselaar;11001;2011;71,66253796
Aartselaar;11001;2012;71,8427267
Aartselaar;11001;2013;72,16475081
Aartselaar;11001;2014;73,2876286
Aartselaar;11001;2015;73,90890474
Affligem;23105;2003;73,8557481
Affligem;23105;2004;73,66490323
Affligem;23105;2005;73,89260997
