postcode;nis;regio
8511;34022;Flandre
9300;41002;Flandre
8211;31040;Flandre
2630;11001;Flandre
5362;91059;Wallonie
9991;43010;Flandre
5544;91142;Wallonie
3570;73001;Flandre
1652;23003;Flandre
6150;56001;Wallonie
4821;63020;Wallonie
4031;62063;Wallonie
6721;85046;Wallonie
4430;62003;Wallonie
4160;61079;Wallonie
2000;11002;Flandre
2018;11002;Flandre
2020;11002;Flandre
2030;11002;Flandre
2050;11002;Flandre
2060;11002;Flandre
7811;51004;Wallonie
8850;37020;Flandre
2370;13001;Flandre
4601;62108;Wallonie
3665;71002;Flandre
9404;41048;Flandre
9960;43002;Flandre
6791;81004;Wallonie
3384;24137;Flandre
7941;51012;Wallonie
6790;81004;Wallonie
4880;63003;Wallonie
7382;53068;Wallonie
6706;81001;Wallonie
8580;34003;Flandre
3128;24109;Flandre
2387;13002;Flandre
2490;13003;Flandre
6951;83040;Wallonie
4983;63086;Wallonie
4651;63035;Wallonie
7331;53070;Wallonie
1401;25072;Wallonie
4052;62022;Wallonie
6594;56051;Wallonie
7532;57081;Wallonie
1650;23003;Flandre
1673;23064;Flandre
6672;82037;Wallonie
1852;23025;Flandre
3460;24008;Flandre
5001;92094;Wallonie
9881;44001;Flandre
6834;84010;Wallonie
1674;23064;Flandre
7970;51008;Wallonie
9111;46021;Flandre
2600;11002;Flandre
3580;71004;Flandre
7320;51009;Wallonie
6687;82005;Wallonie
3130;24007;Flandre
8791;34040;Flandre
3581;71004;Flandre
6543;56044;Wallonie
6533;56078;Wallonie
1301;25112;Wallonie
6531;56078;Wallonie
1547;23009;Flandre
4831;63046;Wallonie
3211;24066;Flandre
7783;54010;Wallonie
5542;91142;Wallonie
3052;24086;Flandre
2530;11004;Flandre
9961;43002;Flandre
4653;63035;Wallonie
5021;92094;Wallonie
7603;57064;Wallonie
2221;12014;Flandre
2850;11005;Flandre
3190;24014;Flandre
1761;23097;Flandre
2140;11002;Flandre
1404;25072;Wallonie
2150;11007;Flandre
9552;41027;Flandre
8583;34003;Flandre
5004;92094;Wallonie
7300;53014;Wallonie
7803;51004;Wallonie
2288;13010;Flandre
6671;82037;Wallonie
1420;25014;Wallonie
2930;11008;Flandre
7130;56011;Wallonie
8450;35002;Flandre
1931;23094;Flandre
1000;21004;Bruxelles
1070;21001;Bruxelles
1071;21004;Bruxelles
1071;21004;Bruxelles
1934;23094;Flandre
7641;57003;Wallonie
6222;52021;Wallonie
1501;23027;Flandre
7602;57064;Wallonie
7133;56011;Wallonie
6743;85009;Wallonie
7642;57003;Wallonie
7940;51012;Wallonie
1804;23088;Flandre
5561;91072;Wallonie
