gemeente;nis;jaar;inwoners
Aalst;41002;1997;76197
Aalst;41002;1998;76291
Aalst;41002;1999;76223
Aalst;41002;2000;76313
Aalst;41002;2001;76470
Aalst;41002;2002;76382
Aalst;41002;2003;76779
Aalst;41002;2004;76852
Aalst;41002;2005;77007
Aalst;41002;2006;77360
Aalst;41002;2007;77790
Aalst;41002;2008;78271
Aalst;41002;2009;79052
Aalst;41002;2010;80043
Aalst;41002;2011;81062
Aalst;41002;2012;81853
Aalst;41002;2013;82587
Aalst;41002;2014;83347
Aalst;41002;2015;83709
Aalst;41002;2016;84329
Aalter;44001;1997;17778
Aalter;44001;1998;18096
Aalter;44001;1999;18331
Aalter;44001;2000;18509
Aalter;44001;2001;18543
Aalter;44001;2002;18607
Aalter;44001;2003;18675
Aalter;44001;2004;18672
Aalter;44001;2005;18696
Aalter;44001;2006;18841
Aalter;44001;2007;18887
Aalter;44001;2008;19028
Aalter;44001;2009;19260
Aalter;44001;2010;19501
Aalter;44001;2011;19719
Aalter;44001;2012;19860
Aalter;44001;2013;19966
Aalter;44001;2014;19987
Aalter;44001;2015;20073
Aalter;44001;2016;20218
Aarschot;24001;1997;27266
Aarschot;24001;1998;27304
Aarschot;24001;1999;27439
Aarschot;24001;2000;27495
Aarschot;24001;2001;27551
Aarschot;24001;2002;27663
Aarschot;24001;2003;27664
Aarschot;24001;2004;27701
Aarschot;24001;2005;27831
Aarschot;24001;2006;27864
Aarschot;24001;2007;28021
Aarschot;24001;2008;28129
Aarschot;24001;2009;28223
Aarschot;24001;2010;28405
Aarschot;24001;2011;28636
Aarschot;24001;2012;28755
Aarschot;24001;2013;28969
Aarschot;24001;2014;29074
Aarschot;24001;2015;29288
Aarschot;24001;2016;29529
Aartselaar;11001;1997;14380
Aartselaar;11001;1998;14270
Aartselaar;11001;1999;14393
Aartselaar;11001;2000;14438
Aartselaar;11001;2001;14440
Aartselaar;11001;2002;14378
Aartselaar;11001;2003;14317
Aartselaar;11001;2004;14237
Aartselaar;11001;2005;14272
Aartselaar;11001;2006;14375
Aartselaar;11001;2007;14325
Aartselaar;11001;2008;14267
Aartselaar;11001;2009;14265
Aartselaar;11001;2010;14290
Aartselaar;11001;2011;14311
Aartselaar;11001;2012;14281
Aartselaar;11001;2013;14226
Aartselaar;11001;2014;14207
Aartselaar;11001;2015;14157
Aartselaar;11001;2016;14262
Affligem;23105;1997;11742
Affligem;23105;1998;11723
Affligem;23105;1999;11741
Affligem;23105;2000;11651
Affligem;23105;2001;11658
Affligem;23105;2002;11744
Affligem;23105;2003;11667
Affligem;23105;2004;11684
Affligem;23105;2005;11825
Affligem;23105;2006;11956
Affligem;23105;2007;12169
Affligem;23105;2008;12229
Affligem;23105;2009;12347
Affligem;23105;2010;12397
Affligem;23105;2011;12461
Affligem;23105;2012;12615
Affligem;23105;2013;12851
Affligem;23105;2014;12953
Affligem;23105;2015;13016
Affligem;23105;2016;13079
Alken;73001;1997;10709
Alken;73001;1998;10824
Alken;73001;1999;10882
Alken;73001;2000;10900
Alken;73001;2001;10938
Alken;73001;2002;10975
Alken;73001;2003;10962
Alken;73001;2004;11036
Alken;73001;2005;11034
Alken;73001;2006;11048
Alken;73001;2007;11090
Alken;73001;2008;11153
Alken;73001;2009;11173
Alken;73001;2010;11242
Alken;73001;2011;11277
Alken;73001;2012;11315
Alken;73001;2013;11338
Alken;73001;2014;11398
Alken;73001;2015;11421
Alken;73001;2016;11456
Alveringem;38002;1997;4744
Alveringem;38002;1998;4716
Alveringem;38002;1999;4735
Alveringem;38002;2000;4805
Alveringem;38002;2001;4821
Alveringem;38002;2002;4865
Alveringem;38002;2003;4881
Alveringem;38002;2004;4872
Alveringem;38002;2005;4898
Alveringem;38002;2006;4887
Alveringem;38002;2007;4955
Alveringem;38002;2008;4963
Alveringem;38002;2009;4979
Alveringem;38002;2010;4920
Alveringem;38002;2011;4949
Alveringem;38002;2012;4990
Alveringem;38002;2013;4968
Alveringem;38002;2014;4952
Alveringem;38002;2015;5005
Alveringem;38002;2016;5039
Anderlecht;21001;2000;87812
Anderlecht;21001;2001;88822
Anderlecht;21001;2002;90134
Anderlecht;21001;2003;91759
Anderlecht;21001;2004;92755
Anderlecht;21001;2005;93808
Anderlecht;21001;2006;96011
Anderlecht;21001;2007;97601
Anderlecht;21001;2008;99085
Anderlecht;21001;2009;101371
Anderlecht;21001;2010;104647
Anderlecht;21001;2011;107912
Anderlecht;21001;2012;111279
Anderlecht;21001;2013;113462
Anderlecht;21001;2014;115178
Antwerpen;11002;1997;453030
Antwerpen;11002;1998;449745
Antwerpen;11002;1999;447632
Antwerpen;11002;2000;446525
Antwerpen;11002;2001;445570
Antwerpen;11002;2002;448709
Antwerpen;11002;2003;452474
Antwerpen;11002;2004;455148
Antwerpen;11002;2005;457749
Antwerpen;11002;2006;461496
Antwerpen;11002;2007;466203
Antwerpen;11002;2008;472071
Antwerpen;11002;2009;477936
Antwerpen;11002;2010;483505
Antwerpen;11002;2011;493517
Antwerpen;11002;2012;502604
Antwerpen;11002;2013;507911
Antwerpen;11002;2014;510610
Antwerpen;11002;2015;513570
Antwerpen;11002;2016;517042
Anzegem;34002;1997;13479
Anzegem;34002;1998;13600
Anzegem;34002;1999;13703
Anzegem;34002;2000;13718
Anzegem;34002;2001;13805
Anzegem;34002;2002;13879
Anzegem;34002;2003;13895
Anzegem;34002;2004;13875
Anzegem;34002;2005;13901
Anzegem;34002;2006;13940
Anzegem;34002;2007;14105
Anzegem;34002;2008;14116
Anzegem;34002;2009;14195
Anzegem;34002;2010;14234
Anzegem;34002;2011;14331
Anzegem;34002;2012;14471
Anzegem;34002;2013;14469
Anzegem;34002;2014;14472
Anzegem;34002;2015;14567
Anzegem;34002;2016;14589
Ardooie;37020;1997;9640
Ardooie;37020;1998;9622
Ardooie;37020;1999;9511
Ardooie;37020;2000;9508
Ardooie;37020;2001;9396
Ardooie;37020;2002;9336
Ardooie;37020;2003;9278
Ardooie;37020;2004;9254
Ardooie;37020;2005;9168
Ardooie;37020;2006;9147
Ardooie;37020;2007;9111
Ardooie;37020;2008;9086
Ardooie;37020;2009;9081
Ardooie;37020;2010;9053
Ardooie;37020;2011;9060
Ardooie;37020;2012;9088
Ardooie;37020;2013;9075
Ardooie;37020;2014;9094
Ardooie;37020;2015;9067
Ardooie;37020;2016;9053
Arendonk;13001;1997;11578
Arendonk;13001;1998;11597
Arendonk;13001;1999;11741
Arendonk;13001;2000;11805
Arendonk;13001;2001;11883
Arendonk;13001;2002;11934
Arendonk;13001;2003;12040
Arendonk;13001;2004;12119
Arendonk;13001;2005;12179
Arendonk;13001;2006;12215
Arendonk;13001;2007;12329
Arendonk;13001;2008;12518
Arendonk;13001;2009;12679
Arendonk;13001;2010;12758
Arendonk;13001;2011;12855
Arendonk;13001;2012;12894
Arendonk;13001;2013;12941
Arendonk;13001;2014;12956
Arendonk;13001;2015;13053
Arendonk;13001;2016;13142
As;71002;1997;7054
As;71002;1998;7119
As;71002;1999;7169
As;71002;2000;7213
As;71002;2001;7227
As;71002;2002;7279
As;71002;2003;7270
As;71002;2004;7335
As;71002;2005;7447
As;71002;2006;7497
As;71002;2007;7579
As;71002;2008;7605
As;71002;2009;7685
As;71002;2010;7785
As;71002;2011;7856
As;71002;2012;8004
As;71002;2013;8060
As;71002;2014;8020
As;71002;2015;8119
As;71002;2016;8164
Asse;23002;1997;27442
Asse;23002;1998;27583
Asse;23002;1999;27744
Asse;23002;2000;27931
Asse;23002;2001;28006
Asse;23002;2002;28310
Asse;23002;2003;28539
Asse;23002;2004;28739
Asse;23002;2005;28838
Asse;23002;2006;29191
Asse;23002;2007;29334
Asse;23002;2008;29558
Asse;23002;2009;29850
Asse;23002;2010;30228
Asse;23002;2011;30557
Asse;23002;2012;30875
Asse;23002;2013;31417
Asse;23002;2014;31754
Asse;23002;2015;32069
Asse;23002;2016;32402
Assenede;43002;1997;13545
Assenede;43002;1998;13567
Assenede;43002;1999;13602
Assenede;43002;2000;13597
Assenede;43002;2001;13597
Assenede;43002;2002;13519
Assenede;43002;2003;13513
Assenede;43002;2004;13499
Assenede;43002;2005;13489
Assenede;43002;2006;13552
Assenede;43002;2007;13584
Assenede;43002;2008;13637
Assenede;43002;2009;13752
Assenede;43002;2010;13806
Assenede;43002;2011;13867
Assenede;43002;2012;13942
Assenede;43002;2013;13903
Assenede;43002;2014;13951
Assenede;43002;2015;14052
Assenede;43002;2016;14083
Avelgem;34003;1997;9018
Avelgem;34003;1998;9035
Avelgem;34003;1999;9101
Avelgem;34003;2000;9148
Avelgem;34003;2001;9194
Avelgem;34003;2002;9193
Avelgem;34003;2003;9165
Avelgem;34003;2004;9261
Avelgem;34003;2005;9372
Avelgem;34003;2006;9457
Avelgem;34003;2007;9523
Avelgem;34003;2008;9597
Avelgem;34003;2009;9601
Avelgem;34003;2010;9603
Avelgem;34003;2011;9655
Avelgem;34003;2012;9641
Avelgem;34003;2013;9666
Avelgem;34003;2014;9727
Avelgem;34003;2015;9788
Avelgem;34003;2016;9956
Baarle-Hertog;13002;1997;2096
Baarle-Hertog;13002;1998;2112
Baarle-Hertog;13002;1999;2128
Baarle-Hertog;13002;2000;2120
Baarle-Hertog;13002;2001;2156
Baarle-Hertog;13002;2002;2200
Baarle-Hertog;13002;2003;2235
Baarle-Hertog;13002;2004;2247
Baarle-Hertog;13002;2005;2276
Baarle-Hertog;13002;2006;2306
Baarle-Hertog;13002;2007;2337
Baarle-Hertog;13002;2008;2385
Baarle-Hertog;13002;2009;2431
Baarle-Hertog;13002;2010;2504
Baarle-Hertog;13002;2011;2594
Baarle-Hertog;13002;2012;2592
Baarle-Hertog;13002;2013;2630
Baarle-Hertog;13002;2014;2618
Baarle-Hertog;13002;2015;2680
Baarle-Hertog;13002;2016;2663
Balen;13003;1997;19022
Balen;13003;1998;19129
Balen;13003;1999;19242
Balen;13003;2000;19290
Balen;13003;2001;19410
Balen;13003;2002;19581
Balen;13003;2003;19716
Balen;13003;2004;19871
Balen;13003;2005;20111
Balen;13003;2006;20276
Balen;13003;2007;20379
Balen;13003;2008;20643
Balen;13003;2009;20811
Balen;13003;2010;21022
Balen;13003;2011;21305
Balen;13003;2012;21570
Balen;13003;2013;21772
Balen;13003;2014;21817
Balen;13003;2015;21969
Balen;13003;2016;22168
Beernem;31003;1997;14423
Beernem;31003;1998;14501
Beernem;31003;1999;14504
Beernem;31003;2000;14525
Beernem;31003;2001;14557
Beernem;31003;2002;14551
Beernem;31003;2003;14540
Beernem;31003;2004;14545
Beernem;31003;2005;14550
Beernem;31003;2006;14642
Beernem;31003;2007;14691
Beernem;31003;2008;14806
Beernem;31003;2009;14910
Beernem;31003;2010;15064
Beernem;31003;2011;15214
Beernem;31003;2012;15357
Beernem;31003;2013;15389
Beernem;31003;2014;15428
Beernem;31003;2015;15481
Beernem;31003;2016;15502
Beerse;13004;1997;15224
Beerse;13004;1998;15392
Beerse;13004;1999;15584
Beerse;13004;2000;15698
Beerse;13004;2001;15850
Beerse;13004;2002;16029
Beerse;13004;2003;16091
Beerse;13004;2004;16185
Beerse;13004;2005;16296
Beerse;13004;2006;16482
Beerse;13004;2007;16600
Beerse;13004;2008;16756
Beerse;13004;2009;16931
Beerse;13004;2010;17003
Beerse;13004;2011;17035
Beerse;13004;2012;17167
Beerse;13004;2013;17340
Beerse;13004;2014;17550
Beerse;13004;2015;17600
Beerse;13004;2016;17829
Beersel;23003;1997;22746
Beersel;23003;1998;22753
Beersel;23003;1999;22853
Beersel;23003;2000;22880
Beersel;23003;2001;22919
Beersel;23003;2002;23043
Beersel;23003;2003;23108
Beersel;23003;2004;23214
Beersel;23003;2005;23337
Beersel;23003;2006;23433
Beersel;23003;2007;23578
Beersel;23003;2008;23587
Beersel;23003;2009;23756
Beersel;23003;2010;23903
Beersel;23003;2011;24209
Beersel;23003;2012;24244
Beersel;23003;2013;24322
Beersel;23003;2014;24496
Beersel;23003;2015;24588
Beersel;23003;2016;24745
Begijnendijk;24007;1997;9003
Begijnendijk;24007;1998;9027
Begijnendijk;24007;1999;8985
Begijnendijk;24007;2000;9088
Begijnendijk;24007;2001;9096
Begijnendijk;24007;2002;9122
Begijnendijk;24007;2003;9142
Begijnendijk;24007;2004;9205
Begijnendijk;24007;2005;9304
Begijnendijk;24007;2006;9400
Begijnendijk;24007;2007;9468
Begijnendijk;24007;2008;9647
Begijnendijk;24007;2009;9706
Begijnendijk;24007;2010;9812
Begijnendijk;24007;2011;9848
Begijnendijk;24007;2012;9962
Begijnendijk;24007;2013;9944
Begijnendijk;24007;2014;9979
Begijnendijk;24007;2015;10029
Begijnendijk;24007;2016;10058
Bekkevoort;24008;1997;5565
Bekkevoort;24008;1998;5578
Bekkevoort;24008;1999;5686
Bekkevoort;24008;2000;5726
Bekkevoort;24008;2001;5743
Bekkevoort;24008;2002;5752
Bekkevoort;24008;2003;5740
Bekkevoort;24008;2004;5806
Bekkevoort;24008;2005;5821
Bekkevoort;24008;2006;5826
Bekkevoort;24008;2007;5926
Bekkevoort;24008;2008;5915
Bekkevoort;24008;2009;5943
Bekkevoort;24008;2010;5968
Bekkevoort;24008;2011;6081
Bekkevoort;24008;2012;6079
Bekkevoort;24008;2013;6084
Bekkevoort;24008;2014;6094
Bekkevoort;24008;2015;6080
